FoodName,Description,CarTime,Carbon,kCals,Fat,Sugar,Protein,ACAR,ALCO,BCAR,BCRYPT,BIOT,CA,CHO,CHOL,CL,CMON,CN3,CN6,CU,ENGFIB,FAT,FE,FOLT,FRUCT,GLUC,HFE,I,K,KCALS,KJ,LACT,MALT,MG,MILK,MN,NA,NCF,NHFE,NIACEQU,NMILK,OSUG,P,PANTO,PROT,RET,RIBO,SATFA,SE,STAR,SUCR,THIA,TOTCAR,TOTNIT,TOTSUG,TRANS,VITA,VITB12,VITB6,VITC,VITD,VITE,WATER,ZN
Sweetcorn,1 Corn on the Cob,0.712,55.1947,58.6991,1.6646,2.1903,3.154,0,0,15.7699,17.5221,0.8761,3.5044,8.323,0,55.1946,0.4205,0.0263,0.6396,0.0788,2.2779,1.6646,0.6133,21.0265,0.0876,2.1027,0,0,291.7431,58.6991,248.814,0,0,36.7964,2.1903,0.2804,0,5.4757,0.6133,2.5407,0,0,93.7433,0.3504,3.154,0,0.0701,0.2103,0.8761,5.9575,0,0.219,24.531,0.5257,2.1903,0,4.3805,0,0,3.154,0,0.3504,66.584,0.7885
Breakfast Cereal,"Cornflakes, 70 g, with Milk, 100 ml ",4.9497,383.7004,325.7254,2.41,11.0105,8.8212,11.6359,0,85.0872,0,1.4545,1.4545,66.7608,0,545.4311,0.0945,0.0073,0.2036,0,1.5272,0.6545,5.8179,120.7221,1.2363,1.4545,0,0,72.7241,276.3517,1178.8583,0,0,9.4541,2.6181,0.0655,363.6207,4.5453,5.8179,9.6723,3.3453,0,35.6348,0.1454,5.0907,0,0.8727,0.1454,6.5452,60.7974,3.3453,0.6545,90.9052,0.8,5.9634,0,15.2721,1.5272,0.8727,0,3.0544,0.0727,2.4726,0.1454
Courgette,"One Courgette, 60 g",0.3211,24.8886,11.3401,0.2387,1.134,1.1937,0,0,262.6135,0,0,11.3401,1.1937,0,15.5181,0.0179,0.0716,0.0477,0.006,0.7162,0.2387,0.3581,18.5023,0.5372,0.4775,0,1.1937,125.3383,11.3401,48.3448,0,0,10.1464,1.134,0.0597,0.5968,3.7303,0.3581,0.2984,0,0,21.4866,0.0597,1.1937,0,0.0119,0.0597,0.5968,0.0597,0.1194,0.0477,262.6135,0.1791,1.134,0,43.57,0,0.0597,6.5653,0,0.0597,55.5069,0.1194
Cucumber,"1/2 a Raw Cucmber, 100 g",0.372,28.8377,13.9217,0.5966,1.1933,0.9943,0,0,73.58571,0,0.99429,20.8824,1.19328,0,66.62502,0,0.12936,0.12936,0.0297,0.69597,0.59664,0.29832,13.92171,0.69597,0.49731,0,2.9832,155.12673,13.92171,59.664,0,0,9.94389,1.19328,0.08943,3.97749,6.21489,0.29832,0.29832,0,0,22.87131,0.29832,0.99429,0,0.0198,0.18909,0,0,0,0.0297,73.58571,0.19899,1.19328,0,11.9328,0,0,2.08824,0,0,95.95971,0.09933
Digestive,2 Plain Digestives,1.5403,119.4036,174.397,8.023,6.5916,2.3354,0,0,0,0,1.5066,35.7834,24.7094,0.7534,135.6004,3.8344,0.0302,0.825,0.0792,1.017,8.023,0.678,4.1434,0,0,0,0,80.9836,174.397,731.865,0,0,11.6766,0.5274,0.3428,211.3104,2.147,0.678,1.1676,6.0644,0,44.8234,0.1884,2.3354,0,0.0076,2.9042,1.5066,18.1178,6.5916,0.0452,0,0.4144,6.5916,0.0038,0,0,0.0376,0,0,1.9964,1.0546,0.339
Chocolate Digestive,2 Digestives Half Coated in Chocolate,4.1597,322.4597,168.6606,8.8824,8.3985,2.1774,0,0,0,0,1.7281,34.5616,21.35905,2.0737,96.77245,3.0518,0.02765,0.78455,0.1106,1.0714,8.88235,0.7258,2.4193,0,0,0,2.76495,89.1689,168.6606,707.4759,0,0,12.7878,0.8295,0.2281,121.3112,1.97,0.7258,1.1751,7.53445,0,42.8564,0.20735,2.1774,0,0.0242,4.3824,1.03685,12.9606,8.39845,0.038,0,0.3802,8.39845,0.0138,0,0.03455,0.03455,0,0,0.7949,0.6221,0.2765
Eggs,Two Eggs,5.0057,388.0355,163.7449,10.9926,0,16.1454,0,0,0,0,19.46616,62.9788,0,412.22488,204.96736,4.2024,0.16032,1.58016,0.08016,0,10.99264,2.29016,34.35208,0,0,0,59.5436,161.4548,163.74488,681.31616,0,0,16.03096,0,0.04584,171.7604,7.15672,2.29016,4.23672,0,0,234.7392,1.48856,16.14544,137.40832,0.53816,3.09168,30.91688,0,0,0.0916,0,2.63368,0,0.01144,137.40832,2.29016,0.11448,0,3.66424,1.83208,86.33824,1.48856
Grapes,"Handful of Grapes, 30 g",0.3068,23.7826,18.7598,0.0605,4.5992,0.2118,0,0,0,0,0,2.4206,4.5992,0,13.3134,0,0.0061,0.0182,0.0212,0.2118,0.0605,0.0605,1.8155,2.3904,2.2088,0,0.3026,65.6595,18.7598,79.5781,0,0,1.8155,4.5992,0.0182,0.3026,1.8911,0.0605,0.0908,0,0,5.749,0.0303,0.2118,0,0.003,0.0242,0,0,0,0.0121,0,0.0303,4.5992,0,0,0,0,0.6052,0,0.0605,25.0232,0
Ham,"Four Slices of Ham, 190 g",11.2989,875.8829,218.9707,7.426,1.1425,36.9394,0,0,0,0,5.7123,13.3287,1.1425,110.4374,2014.5307,3.0846,0.1333,0.9901,0.1904,0,7.426,1.3329,3.8082,0,0.7616,0.5712,5.7123,628.3508,218.9707,921.5812,0,0,43.7941,0,0.019,1578.4933,11.9006,0.7616,18.2793,1.1425,0,580.7485,1.9041,36.9394,0,0.3237,2.4753,20.945,0,0.3808,1.5233,0,5.9027,1.1425,0.0571,0,1.3329,1.1425,0,1.1425,0,137.0947,3.6178
Instant Cereal,"1 Packet Hot Oat Cereal Made with Water, no Sugar",1.2137,94.082,133.6763,2.9787,0.4359,4.0684,0,0,0,0,4.7223,17.436,24.2288,0,87.1802,1.2423,0.0254,0.9299,0.0944,3.2329,2.9787,1.3077,10.171,0,0,0,1.8163,124.5951,133.6763,566.3082,0,0.218,37.7781,0.4359,1.3368,3.6325,2.1178,1.3077,1.2351,0,0,132.5866,0.1453,4.0684,0,0.4141,0.5776,1.8163,23.7929,0.218,0.3124,0,0.6902,0.4359,0.0036,0,0.2906,0.109,0,0,0.109,2.0342,0.7265
